State, Facility Name, Facility ID (ORISPL), Unit ID, Year, Facility Latitude, Facility Longitude, Owner, Operator
"IL","Meredosia","864","05","2015","39.8194","-90.5647","AmerenEnergy Medina Valley Cogen, LLC","AmerenEnergy Medina Valley Cogen, LLC",
"IL","Morris Cogeneration, LLC","55216","B-5","2015","41.4092","-88.3292","Morris CoGeneration, LLC","Morris CoGeneration, LLC",
"IL","Morris Cogeneration, LLC","55216","B-5","2016","41.4092","-88.3292","LyondellBassell, Morris CoGeneration, LLC","Morris CoGeneration, LLC",
"IL","Morris Cogeneration, LLC","55216","B-6","2015","41.4092","-88.3292","Morris CoGeneration, LLC","Morris CoGeneration, LLC",
"IL","Morris Cogeneration, LLC","55216","B-6","2016","41.4092","-88.3292","LyondellBassell, Morris CoGeneration, LLC","Morris CoGeneration, LLC",
"IL","Morris Cogeneration, LLC","55216","CTG1","2015","41.4092","-88.3292","Morris CoGeneration, LLC","Morris CoGeneration, LLC",
"IL","Morris Cogeneration, LLC","55216","CTG1","2016","41.4092","-88.3292","Morris CoGeneration, LLC","Morris CoGeneration, LLC",
"IL","Morris Cogeneration, LLC","55216","CTG2","2015","41.4092","-88.3292","Morris CoGeneration, LLC","Morris CoGeneration, LLC",
"IL","Morris Cogeneration, LLC","55216","CTG2","2016","41.4092","-88.3292","Morris CoGeneration, LLC","Morris CoGeneration, LLC",
"IL","Morris Cogeneration, LLC","55216","CTG3","2015","41.4092","-88.3292","Morris CoGeneration, LLC","Morris CoGeneration, LLC",
"IL","Morris Cogeneration, LLC","55216","CTG3","2016","41.4092","-88.3292","Morris CoGeneration, LLC","Morris CoGeneration, LLC",
"IL","NRG Rockford Energy Center","55238","0001","2015","42.2403","-89.1025","NRG Rockford, LLC","Indeck Energy Services, Inc.",
"IL","NRG Rockford Energy Center","55238","0001","2016","42.2403","-89.1025","NRG Rockford, LLC","Indeck Energy Services, Inc.",
"IL","NRG Rockford Energy Center","55238","0002","2015","42.2403","-89.1025","NRG Rockford, LLC","Indeck Energy Services, Inc.",
"IL","NRG Rockford Energy Center","55238","0002","2016","42.2403","-89.1025","NRG Rockford, LLC","Indeck Energy Services, Inc.",
"IL","NRG Rockford II Energy Center","55936","U1","2015","42.2383","-89.1014","NRG Rockford, LLC","Indeck Energy Services, Inc.",
"IL","NRG Rockford II Energy Center","55936","U1","2016","42.2383","-89.1014","NRG Rockford, LLC","Indeck Energy Services, Inc.",
"IL","Nelson Energy Center","55183","1","2015","41.7461","-89.3005","Invenergy Services LLC","Invenergy Services LLC",
"IL","Nelson Energy Center","55183","1","2016","41.7461","-89.3005","Invenergy Services LLC","Invenergy Services LLC",
"IL","Nelson Energy Center","55183","2","2015","41.7461","-89.3005","Invenergy Services LLC","Invenergy Services LLC",
"IL","Nelson Energy Center","55183","2","2016","41.7461","-89.3005","Invenergy Services LLC","Invenergy Services LLC",
"IL","Newton","6017","1","2015","38.9361","-88.2778","Illinois Power Generating Company","Illinois Power Generating Company",
"IL","Newton","6017","1","2016","38.9361","-88.2778","Illinois Power Generating Company","Illinois Power Generating Company",
"IL","Newton","6017","2","2015","38.9361","-88.2778","Illinois Power Generating Company","Illinois Power Generating Company",
"IL","Newton","6017","2","2016","38.9361","-88.2778","Illinois Power Generating Company","Illinois Power Generating Company",
"IL","Pacific Ethanol Pekin, Inc.","880086","UNITC","2015","40.555","-89.6628","Aventine Renewable Energy, Inc., Pacific Ethanol Pekin, Inc.","Aventine Renewable Energy, Inc., Pacific Ethanol Pekin, Inc.",
"IL","Pacific Ethanol Pekin, Inc.","880086","UNITC","2016","40.555","-89.6628","Pacific Ethanol Pekin, Inc.","Pacific Ethanol Pekin, Inc.",
"IL","Pacific Ethanol Pekin, Inc.","880086","UNITE","2015","40.555","-89.6628","Aventine Renewable Energy, Inc., Pacific Ethanol Pekin, Inc.","Aventine Renewable Energy, Inc., Pacific Ethanol Pekin, Inc.",
"IL","Pacific Ethanol Pekin, Inc.","880086","UNITE","2016","40.555","-89.6628","Pacific Ethanol Pekin, Inc.","Pacific Ethanol Pekin, Inc.",
"IL","Pacific Ethanol Pekin, Inc.","880086","UNITF","2015","40.555","-89.6628","Aventine Renewable Energy, Inc., Pacific Ethanol Pekin, Inc.","Aventine Renewable Energy, Inc., Pacific Ethanol Pekin, Inc.",
"IL","Pacific Ethanol Pekin, Inc.","880086","UNITF","2016","40.555","-89.6628","Pacific Ethanol Pekin, Inc.","Pacific Ethanol Pekin, Inc.",
"IL","Pinckneyville Power Plant","55202","CT01","2015","38.1114","-89.3467","Union Electric Company","Union Electric Company",
"IL","Pinckneyville Power Plant","55202","CT01","2016","38.1114","-89.3467","Union Electric Company","Union Electric Company",
"IL","Pinckneyville Power Plant","55202","CT02","2015","38.1114","-89.3467","Union Electric Company","Union Electric Company",
"IL","Pinckneyville Power Plant","55202","CT02","2016","38.1114","-89.3467","Union Electric Company","Union Electric Company",
"IL","Pinckneyville Power Plant","55202","CT03","2015","38.1114","-89.3467","Union Electric Company","Union Electric Company",
"IL","Pinckneyville Power Plant","55202","CT03","2016","38.1114","-89.3467","Union Electric Company","Union Electric Company",
"IL","Pinckneyville Power Plant","55202","CT04","2015","38.1114","-89.3467","Union Electric Company","Union Electric Company",
"IL","Pinckneyville Power Plant","55202","CT04","2016","38.1114","-89.3467","Union Electric Company","Union Electric Company",
"IL","Pinckneyville Power Plant","55202","CT05","2015","38.1114","-89.3467","Union Electric Company","Union Electric Company",
"IL","Pinckneyville Power Plant","55202","CT05","2016","38.1114","-89.3467","Union Electric Company","Union Electric Company",
"IL","Pinckneyville Power Plant","55202","CT06","2015","38.1114","-89.3467","Union Electric Company","Union Electric Company",
"IL","Pinckneyville Power Plant","55202","CT06","2016","38.1114","-89.3467","Union Electric Company","Union Electric Company",
"IL","Pinckneyville Power Plant","55202","CT07","2015","38.1114","-89.3467","Union Electric Company","Union Electric Company",
"IL","Pinckneyville Power Plant","55202","CT07","2016","38.1114","-89.3467","Union Electric Company","Union Electric Company",
"IL","Pinckneyville Power Plant","55202","CT08","2015","38.1114","-89.3467","Union Electric Company","Union Electric Company",
"IL","Pinckneyville Power Plant","55202","CT08","2016","38.1114","-89.3467","Union Electric Company","Union Electric Company",
"IL","Powerton","879","51","2015","40.5408","-89.6786","Midwest Generation EME, LLC","Midwest Generation EME, LLC",
"IL","Powerton","879","51","2016","40.5408","-89.6786","Midwest Generation EME, LLC","Midwest Generation EME, LLC",
"IL","Powerton","879","52","2015","40.5408","-89.6786","Midwest Generation EME, LLC","Midwest Generation EME, LLC",
"IL","Powerton","879","52","2016","40.5408","-89.6786","Midwest Generation EME, LLC","Midwest Generation EME, LLC",
"IL","Powerton","879","61","2015","40.5408","-89.6786","Midwest Generation EME, LLC","Midwest Generation EME, LLC",
"IL","Powerton","879","61","2016","40.5408","-89.6786","Midwest Generation EME, LLC","Midwest Generation EME, LLC",
"IL","Powerton","879","62","2015","40.5408","-89.6786","Midwest Generation EME, LLC","Midwest Generation EME, LLC",
"IL","Powerton","879","62","2016","40.5408","-89.6786","Midwest Generation EME, LLC","Midwest Generation EME, LLC",
"IL","Prairie State Generating Station","55856","01","2015","38.2792","-89.667","AMP368, LLC, Illinois Municipal Electric Agency, Indiana Municipal Power Agency, Kentucky Municipal Power Agency, Lively Grove Energy Partners, LLC, Missouri Joint Municipal Electric Utility Commission, Northern Illinois Municipal Power, Prairie Power Incorporated, Southern Illinois Power Cooperative","Prairie State Generating Company LLC",
"IL","Prairie State Generating Station","55856","01","2016","38.2792","-89.667","AMP368, LLC, Illinois Municipal Electric Agency, Indiana Municipal Power Agency, Kentucky Municipal Power Agency, Lively Grove Energy Partners, LLC, Missouri Joint Municipal Electric Utility Commission, Northern Illinois Municipal Power, Prairie Power Incorporated, Southern Illinois Power Cooperative","Prairie State Generating Company LLC",
"IL","Prairie State Generating Station","55856","02","2015","38.2792","-89.667","AMP368, LLC, Illinois Municipal Electric Agency, Indiana Municipal Power Agency, Kentucky Municipal Power Agency, Lively Grove Energy Partners, LLC, Missouri Joint Municipal Electric Utility Commission, Northern Illinois Municipal Power, Prairie Power Incorporated, Southern Illinois Power Cooperative","Prairie State Generating Company LLC",
"IL","Prairie State Generating Station","55856","02","2016","38.2792","-89.667","AMP368, LLC, Illinois Municipal Electric Agency, Indiana Municipal Power Agency, Kentucky Municipal Power Agency, Lively Grove Energy Partners, LLC, Missouri Joint Municipal Electric Utility Commission, Northern Illinois Municipal Power, Prairie Power Incorporated, Southern Illinois Power Cooperative","Prairie State Generating Company LLC",
"IL","Raccoon Creek Power Plant","55417","CT-01","2015","38.6996","-88.5392","Union Electric Company","Union Electric Company",
"IL","Raccoon Creek Power Plant","55417","CT-01","2016","38.6996","-88.5392","Union Electric Company","Union Electric Company",
"IL","Raccoon Creek Power Plant","55417","CT-02","2015","38.6996","-88.5392","Union Electric Company","Union Electric Company",
"IL","Raccoon Creek Power Plant","55417","CT-02","2016","38.6996","-88.5392","Union Electric Company","Union Electric Company",
"IL","Raccoon Creek Power Plant","55417","CT-03","2015","38.6996","-88.5392","Union Electric Company","Union Electric Company",
"IL","Raccoon Creek Power Plant","55417","CT-03","2016","38.6996","-88.5392","Union Electric Company","Union Electric Company",
"IL","Raccoon Creek Power Plant","55417","CT-04","2015","38.6996","-88.5392","Union Electric Company","Union Electric Company",
"IL","Raccoon Creek Power Plant","55417","CT-04","2016","38.6996","-88.5392","Union Electric Company","Union Electric Company",
"IL","Rocky Road Power, LLC","55109","T1","2015","42.0931","-88.2397","Rocky Road Power, LLC","Rocky Road Power, LLC",
"IL","Rocky Road Power, LLC","55109","T1","2016","42.0931","-88.2397","Rocky Road Power, LLC","Rocky Road Power, LLC",
"IL","Rocky Road Power, LLC","55109","T2","2015","42.0931","-88.2397","Rocky Road Power, LLC","Rocky Road Power, LLC",
"IL","Rocky Road Power, LLC","55109","T2","2016","42.0931","-88.2397","Rocky Road Power, LLC","Rocky Road Power, LLC",
"IL","Rocky Road Power, LLC","55109","T3","2015","42.0931","-88.2397","Rocky Road Power, LLC","Rocky Road Power, LLC",
"IL","Rocky Road Power, LLC","55109","T3","2016","42.0931","-88.2397","Rocky Road Power, LLC","Rocky Road Power, LLC",
"IL","Rocky Road Power, LLC","55109","T4","2015","42.0931","-88.2397","Rocky Road Power, LLC","Rocky Road Power, LLC",
"IL","Rocky Road Power, LLC","55109","T4","2016","42.0931","-88.2397","Rocky Road Power, LLC","Rocky Road Power, LLC",
"IL","Shelby County","55237","SCE1","2015","39.2794","-88.4772","NRG Wholesale Generation LP","NRG Wholesale Generation LP",
"IL","Shelby County","55237","SCE1","2016","39.2794","-88.4772","NRG Wholesale Generation LP, Shelby County Energy Center, LLC","NRG Wholesale Generation LP, ProEnergy Services LLC",
"IL","Shelby County","55237","SCE2","2015","39.2794","-88.4772","NRG Wholesale Generation LP","NRG Wholesale Generation LP",
"IL","Shelby County","55237","SCE2","2016","39.2794","-88.4772","NRG Wholesale Generation LP, Shelby County Energy Center, LLC","NRG Wholesale Generation LP, ProEnergy Services LLC",
"IL","Shelby County","55237","SCE3","2015","39.2794","-88.4772","NRG Wholesale Generation LP","NRG Wholesale Generation LP",
"IL","Shelby County","55237","SCE3","2016","39.2794","-88.4772","NRG Wholesale Generation LP, Shelby County Energy Center, LLC","NRG Wholesale Generation LP, ProEnergy Services LLC",
"IL","Shelby County","55237","SCE4","2015","39.2794","-88.4772","NRG Wholesale Generation LP","NRG Wholesale Generation LP",
"IL","Shelby County","55237","SCE4","2016","39.2794","-88.4772","NRG Wholesale Generation LP, Shelby County Energy Center, LLC","NRG Wholesale Generation LP, ProEnergy Services LLC",
"IL","Shelby County","55237","SCE5","2015","39.2794","-88.4772","NRG Wholesale Generation LP","NRG Wholesale Generation LP",
"IL","Shelby County","55237","SCE5","2016","39.2794","-88.4772","NRG Wholesale Generation LP, Shelby County Energy Center, LLC","NRG Wholesale Generation LP, ProEnergy Services LLC",
"IL","Shelby County","55237","SCE6","2015","39.2794","-88.4772","NRG Wholesale Generation LP","NRG Wholesale Generation LP",
"IL","Shelby County","55237","SCE6","2016","39.2794","-88.4772","NRG Wholesale Generation LP, Shelby County Energy Center, LLC","NRG Wholesale Generation LP, ProEnergy Services LLC",
"IL","Shelby County","55237","SCE7","2015","39.2794","-88.4772","NRG Wholesale Generation LP","NRG Wholesale Generation LP",
"IL","Shelby County","55237","SCE7","2016","39.2794","-88.4772","NRG Wholesale Generation LP, Shelby County Energy Center, LLC","NRG Wholesale Generation LP, ProEnergy Services LLC",
"IL","Shelby County","55237","SCE8","2015","39.2794","-88.4772","NRG Wholesale Generation LP","NRG Wholesale Generation LP",
"IL","Shelby County","55237","SCE8","2016","39.2794","-88.4772","NRG Wholesale Generation LP, Shelby County Energy Center, LLC","NRG Wholesale Generation LP, ProEnergy Services LLC",
"IL","Southeast Chicago Energy Project","55281","CTG10","2015","41.7181","-87.5449","Exelon Generation Company LLC","Exelon Generation Company LLC",
"IL","Southeast Chicago Energy Project","55281","CTG10","2016","41.7181","-87.5449","Exelon Generation Company LLC","Exelon Generation Company LLC",
"IL","Southeast Chicago Energy Project","55281","CTG11","2015","41.7181","-87.5449","Exelon Generation Company LLC","Exelon Generation Company LLC",
"IL","Southeast Chicago Energy Project","55281","CTG11","2016","41.7181","-87.5449","Exelon Generation Company LLC","Exelon Generation Company LLC",
"IL","Southeast Chicago Energy Project","55281","CTG12","2015","41.7181","-87.5449","Exelon Generation Company LLC","Exelon Generation Company LLC",
"IL","Southeast Chicago Energy Project","55281","CTG12","2016","41.7181","-87.5449","Exelon Generation Company LLC","Exelon Generation Company LLC",
"IL","Southeast Chicago Energy Project","55281","CTG5","2015","41.7181","-87.5449","Exelon Generation Company LLC","Exelon Generation Company LLC",
"IL","Southeast Chicago Energy Project","55281","CTG5","2016","41.7181","-87.5449","Exelon Generation Company LLC","Exelon Generation Company LLC",
"IL","Southeast Chicago Energy Project","55281","CTG6","2015","41.7181","-87.5449","Exelon Generation Company LLC","Exelon Generation Company LLC",
"IL","Southeast Chicago Energy Project","55281","CTG6","2016","41.7181","-87.5449","Exelon Generation Company LLC","Exelon Generation Company LLC",
"IL","Southeast Chicago Energy Project","55281","CTG7","2015","41.7181","-87.5449","Exelon Generation Company LLC","Exelon Generation Company LLC",
"IL","Southeast Chicago Energy Project","55281","CTG7","2016","41.7181","-87.5449","Exelon Generation Company LLC","Exelon Generation Company LLC",
"IL","Southeast Chicago Energy Project","55281","CTG8","2015","41.7181","-87.5449","Exelon Generation Company LLC","Exelon Generation Company LLC",
"IL","Southeast Chicago Energy Project","55281","CTG8","2016","41.7181","-87.5449","Exelon Generation Company LLC","Exelon Generation Company LLC",
"IL","Southeast Chicago Energy Project","55281","CTG9","2015","41.7181","-87.5449","Exelon Generation Company LLC","Exelon Generation Company LLC",
"IL","Southeast Chicago Energy Project","55281","CTG9","2016","41.7181","-87.5449","Exelon Generation Company LLC","Exelon Generation Company LLC",
"IL","Tate & Lyle","10867","123-08","2015","39.8466","-88.9261","Tate & Lyle","Tate & Lyle",
"IL","Tate & Lyle","10867","123-08","2016","39.8466","-88.9261","Tate & Lyle","Tate & Lyle",
"IL","Tate & Lyle","10867","123-09","2015","39.8466","-88.9261","Tate & Lyle","Tate & Lyle",
"IL","Tate & Lyle","10867","123-09","2016","39.8466","-88.9261","Tate & Lyle","Tate & Lyle",
"IL","Tilton Power Station","7760","1","2015","40.1063","-87.6539","Tilton Energy LLC","Tilton Energy LLC",
"IL","Tilton Power Station","7760","1","2016","40.1063","-87.6539","Tilton Energy LLC","Tilton Energy LLC",
"IL","Tilton Power Station","7760","2","2015","40.1063","-87.6539","Tilton Energy LLC","Tilton Energy LLC",
"IL","Tilton Power Station","7760","2","2016","40.1063","-87.6539","Tilton Energy LLC","Tilton Energy LLC",
"IL","Tilton Power Station","7760","3","2015","40.1063","-87.6539","Tilton Energy LLC","Tilton Energy LLC",
"IL","Tilton Power Station","7760","3","2016","40.1063","-87.6539","Tilton Energy LLC","Tilton Energy LLC",
"IL","Tilton Power Station","7760","4","2015","40.1063","-87.6539","Tilton Energy LLC","Tilton Energy LLC",
"IL","Tilton Power Station","7760","4","2016","40.1063","-87.6539","Tilton Energy LLC","Tilton Energy LLC",
"IL","University Park Energy","55250","UP1","2015","41.4405","-87.7528","University Park Energy, LLC","University Park Energy, LLC",
"IL","University Park Energy","55250","UP1","2016","41.4405","-87.7528","University Park Energy, LLC","University Park Energy, LLC",
"IL","University Park Energy","55250","UP10","2015","41.4405","-87.7528","University Park Energy, LLC","University Park Energy, LLC",
"IL","University Park Energy","55250","UP10","2016","41.4405","-87.7528","University Park Energy, LLC","University Park Energy, LLC",
"IL","University Park Energy","55250","UP11","2015","41.4405","-87.7528","University Park Energy, LLC","University Park Energy, LLC",
"IL","University Park Energy","55250","UP11","2016","41.4405","-87.7528","University Park Energy, LLC","University Park Energy, LLC",
"IL","University Park Energy","55250","UP12","2015","41.4405","-87.7528","University Park Energy, LLC","University Park Energy, LLC",
"IL","University Park Energy","55250","UP12","2016","41.4405","-87.7528","University Park Energy, LLC","University Park Energy, LLC",
"IL","University Park Energy","55250","UP2","2015","41.4405","-87.7528","University Park Energy, LLC","University Park Energy, LLC",
"IL","University Park Energy","55250","UP2","2016","41.4405","-87.7528","University Park Energy, LLC","University Park Energy, LLC",
"IL","University Park Energy","55250","UP3","2015","41.4405","-87.7528","University Park Energy, LLC","University Park Energy, LLC",
"IL","University Park Energy","55250","UP3","2016","41.4405","-87.7528","University Park Energy, LLC","University Park Energy, LLC",
"IL","University Park Energy","55250","UP4","2015","41.4405","-87.7528","University Park Energy, LLC","University Park Energy, LLC",
"IL","University Park Energy","55250","UP4","2016","41.4405","-87.7528","University Park Energy, LLC","University Park Energy, LLC",
"IL","University Park Energy","55250","UP5","2015","41.4405","-87.7528","University Park Energy, LLC","University Park Energy, LLC",
"IL","University Park Energy","55250","UP5","2016","41.4405","-87.7528","University Park Energy, LLC","University Park Energy, LLC",
"IL","University Park Energy","55250","UP6","2015","41.4405","-87.7528","University Park Energy, LLC","University Park Energy, LLC",
"IL","University Park Energy","55250","UP6","2016","41.4405","-87.7528","University Park Energy, LLC","University Park Energy, LLC",
"IL","University Park Energy","55250","UP7","2015","41.4405","-87.7528","University Park Energy, LLC","University Park Energy, LLC",
"IL","University Park Energy","55250","UP7","2016","41.4405","-87.7528","University Park Energy, LLC","University Park Energy, LLC",
"IL","University Park Energy","55250","UP8","2015","41.4405","-87.7528","University Park Energy, LLC","University Park Energy, LLC",
"IL","University Park Energy","55250","UP8","2016","41.4405","-87.7528","University Park Energy, LLC","University Park Energy, LLC",
"IL","University Park Energy","55250","UP9","2015","41.4405","-87.7528","University Park Energy, LLC","University Park Energy, LLC",
"IL","University Park Energy","55250","UP9","2016","41.4405","-87.7528","University Park Energy, LLC","University Park Energy, LLC",
"IL","Venice","913","CT03","2015","38.6642","-90.1764","Union Electric Company","Union Electric Company",
"IL","Venice","913","CT03","2016","38.6642","-90.1764","Union Electric Company","Union Electric Company",
"IL","Venice","913","CT04","2015","38.6642","-90.1764","Union Electric Company","Union Electric Company",
"IL","Venice","913","CT04","2016","38.6642","-90.1764","Union Electric Company","Union Electric Company",
"IL","Venice","913","CT05","2015","38.6642","-90.1764","Union Electric Company","Union Electric Company",
"IL","Venice","913","CT05","2016","38.6642","-90.1764","Union Electric Company","Union Electric Company",
"IL","Venice","913","CT2A","2015","38.6642","-90.1764","Union Electric Company","Union Electric Company",
"IL","Venice","913","CT2A","2016","38.6642","-90.1764","Union Electric Company","Union Electric Company",
"IL","Venice","913","CT2B","2015","38.6642","-90.1764","Union Electric Company","Union Electric Company",
"IL","Venice","913","CT2B","2016","38.6642","-90.1764","Union Electric Company","Union Electric Company",
"IL","Waukegan","883","311","2015","42.3833","-87.8133","Midwest Generation LLC","Midwest Generation LLC",
"IL","Waukegan","883","311","2016","42.3833","-87.8133","Midwest Generation LLC","Midwest Generation LLC",
"IL","Waukegan","883","312","2015","42.3833","-87.8133","Midwest Generation LLC","Midwest Generation LLC",
"IL","Waukegan","883","312","2016","42.3833","-87.8133","Midwest Generation LLC","Midwest Generation LLC",
"IL","Waukegan","883","321","2015","42.3833","-87.8133","Midwest Generation LLC","Midwest Generation LLC",
"IL","Waukegan","883","321","2016","42.3833","-87.8133","Midwest Generation LLC","Midwest Generation LLC",
"IL","Waukegan","883","322","2015","42.3833","-87.8133","Midwest Generation LLC","Midwest Generation LLC",
"IL","Waukegan","883","322","2016","42.3833","-87.8133","Midwest Generation LLC","Midwest Generation LLC",
"IL","Waukegan","883","7","2015","42.3833","-87.8133","Midwest Generation EME, LLC","Midwest Generation EME, LLC",
"IL","Waukegan","883","7","2016","42.3833","-87.8133","Midwest Generation EME, LLC","Midwest Generation EME, LLC",
"IL","Waukegan","883","8","2015","42.3833","-87.8133","Midwest Generation EME, LLC","Midwest Generation EME, LLC",
"IL","Waukegan","883","8","2016","42.3833","-87.8133","Midwest Generation EME, LLC","Midwest Generation EME, LLC",
"IL","Will County","884","3","2015","41.6334","-88.0626","Midwest Generation EME, LLC","Midwest Generation EME, LLC",
"IL","Will County","884","3","2016","41.6334","-88.0626","Midwest Generation EME, LLC","Midwest Generation EME, LLC",
"IL","Will County","884","4","2015","41.6334","-88.0626","Midwest Generation EME, LLC","Midwest Generation EME, LLC",
"IL","Will County","884","4","2016","41.6334","-88.0626","Midwest Generation EME, LLC","Midwest Generation EME, LLC",
"IL","Wood River Power Station","898","4","2015","38.8639","-90.1325","Dynegy Midwest Generation Inc.","Dynegy Midwest Generation Inc.",
"IL","Wood River Power Station","898","4","2016","38.8639","-90.1325","Dynegy Midwest Generation Inc.","Dynegy Midwest Generation Inc.",
"IL","Wood River Power Station","898","5","2015","38.8639","-90.1325","Dynegy Midwest Generation Inc.","Dynegy Midwest Generation Inc.",
"IL","Wood River Power Station","898","5","2016","38.8639","-90.1325","Dynegy Midwest Generation Inc.","Dynegy Midwest Generation Inc.",
"IL","Wood River Refinery","880067","BLR15","2015","38.8375","-90.0675","WRB Refining LP","Phillips 66 Company",
"IL","Wood River Refinery","880067","BLR15","2016","38.8375","-90.0675","WRB Refining LP","Phillips 66 Company",
"IL","Wood River Refinery","880067","BLR16","2015","38.8375","-90.0675","WRB Refining LP","Phillips 66 Company",
"IL","Wood River Refinery","880067","BLR16","2016","38.8375","-90.0675","WRB Refining LP","Phillips 66 Company",
"IL","Wood River Refinery","880067","BLR17","2015","38.8375","-90.0675","WRB Refining LP","Phillips 66 Company",
"IL","Wood River Refinery","880067","BLR17","2016","38.8375","-90.0675","WRB Refining LP","Phillips 66 Company",
"IL","Zion Energy Center","55392","CT-1","2015","42.4776","-87.895","Zion Energy Center, LLC","Calpine Operating Services Company, Inc.",
"IL","Zion Energy Center","55392","CT-1","2016","42.4776","-87.895","Zion Energy Center, LLC","Calpine Operating Services Company, Inc.",
"IL","Zion Energy Center","55392","CT-2","2015","42.4776","-87.895","Zion Energy Center, LLC","Calpine Operating Services Company, Inc.",
"IL","Zion Energy Center","55392","CT-2","2016","42.4776","-87.895","Zion Energy Center, LLC","Calpine Operating Services Company, Inc.",
"IL","Zion Energy Center","55392","CT-3","2015","42.4776","-87.895","Zion Energy Center, LLC","Calpine Operating Services Company, Inc.",
"IL","Zion Energy Center","55392","CT-3","2016","42.4776","-87.895","Zion Energy Center, LLC","Calpine Operating Services Company, Inc.",
"IN","A B Brown Generating Station","6137","1","2015","37.9053","-87.715","Southern Indiana Gas and Electric Company","Southern Indiana Gas and Electric Company",
"IN","A B Brown Generating Station","6137","1","2016","37.9053","-87.715","Southern Indiana Gas and Electric Company","Southern Indiana Gas and Electric Company",
"IN","A B Brown Generating Station","6137","2","2015","37.9053","-87.715","Southern Indiana Gas and Electric Company","Southern Indiana Gas and Electric Company",
"IN","A B Brown Generating Station","6137","2","2016","37.9053","-87.715","Southern Indiana Gas and Electric Company","Southern Indiana Gas and Electric Company",
"IN","A B Brown Generating Station","6137","3","2015","37.9053","-87.715","Southern Indiana Gas and Electric Company","Southern Indiana Gas and Electric Company",
"IN","A B Brown Generating Station","6137","3","2016","37.9053","-87.715","Southern Indiana Gas and Electric Company","Southern Indiana Gas and Electric Company",
"IN","A B Brown Generating Station","6137","4","2015","37.9053","-87.715","Southern Indiana Gas and Electric Company","Southern Indiana Gas and Electric Company",
"IN","A B Brown Generating Station","6137","4","2016","37.9053","-87.715","Southern Indiana Gas and Electric Company","Southern Indiana Gas and Electric Company",
"IN","Alcoa Allowance Management Inc","6705","1","2015","37.915","-87.3328","Alcoa Allowance Management, Inc.","Alcoa Allowance Management, Inc.",
"IN","Alcoa Allowance Management Inc","6705","1","2016","37.915","-87.3328","Alcoa Allowance Management, Inc.","Alcoa Allowance Management, Inc.",
"IN","Alcoa Allowance Management Inc","6705","2","2015","37.915","-87.3328","Alcoa Allowance Management, Inc.","Alcoa Allowance Management, Inc.",
"IN","Alcoa Allowance Management Inc","6705","2","2016","37.915","-87.3328","Alcoa Allowance Management, Inc.","Alcoa Allowance Management, Inc.",
"IN","Alcoa Allowance Management Inc","6705","3","2015","37.915","-87.3328","Alcoa Allowance Management, Inc.","Alcoa Allowance Management, Inc.",
"IN","Alcoa Allowance Management Inc","6705","3","2016","37.915","-87.3328","Alcoa Allowance Management, Inc.","Alcoa Allowance Management, Inc.",
"IN","Alcoa Allowance Management Inc","6705","4","2015","37.915","-87.3328","Alcoa Allowance Management, Inc., Vectren Corporation","Alcoa Allowance Management, Inc.",
"IN","Alcoa Allowance Management Inc","6705","4","2016","37.915","-87.3328","Alcoa Allowance Management, Inc., Vectren Corporation","Alcoa Allowance Management, Inc.",
"IN","Anderson","7336","ACT1","2015","40.0529","-85.7389","Indiana Municipal Power Agency","Indiana Municipal Power Agency",
"IN","Anderson","7336","ACT1","2016","40.0529","-85.7389","Indiana Municipal Power Agency","Indiana Municipal Power Agency",
"IN","Anderson","7336","ACT2","2015","40.0529","-85.7389","Indiana Municipal Power Agency","Indiana Municipal Power Agency",
"IN","Anderson","7336","ACT2","2016","40.0529","-85.7389","Indiana Municipal Power Agency","Indiana Municipal Power Agency",
"IN","Anderson","7336","ACT3","2015","40.0529","-85.7389","Indiana Municipal Power Agency","Indiana Municipal Power Agency",
"IN","Anderson","7336","ACT3","2016","40.0529","-85.7389","Indiana Municipal Power Agency","Indiana Municipal Power Agency",
"IN","ArcelorMittal USA - Indiana Harbor East","10474","211","2015","41.68","-87.4264","ArcelorMittal","ArcelorMittal",
"IN","ArcelorMittal USA - Indiana Harbor East","10474","211","2016","41.68","-87.4264","ArcelorMittal","ArcelorMittal",
"IN","ArcelorMittal USA - Indiana Harbor East","10474","212","2015","41.68","-87.4264","ArcelorMittal","ArcelorMittal",
"IN","ArcelorMittal USA - Indiana Harbor East","10474","212","2016","41.68","-87.4264","ArcelorMittal","ArcelorMittal",
"IN","ArcelorMittal USA - Indiana Harbor East","10474","213","2015","41.68","-87.4264","ArcelorMittal","ArcelorMittal",
"IN","ArcelorMittal USA - Indiana Harbor East","10474","213","2016","41.68","-87.4264","ArcelorMittal","ArcelorMittal",
"IN","ArcelorMittal USA - Indiana Harbor East","10474","501","2015","41.68","-87.4264","ArcelorMittal","ArcelorMittal",
"IN","ArcelorMittal USA - Indiana Harbor East","10474","501","2016","41.68","-87.4264","ArcelorMittal","ArcelorMittal",
"IN","ArcelorMittal USA - Indiana Harbor East","10474","502","2015","41.68","-87.4264","ArcelorMittal","ArcelorMittal",
"IN","ArcelorMittal USA - Indiana Harbor East","10474","502","2016","41.68","-87.4264","ArcelorMittal","ArcelorMittal",
"IN","ArcelorMittal USA - Indiana Harbor East","10474","503","2015","41.68","-87.4264","ArcelorMittal","ArcelorMittal",
